indx,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
167,american journal of dance therapy,1573-3262,45,46,0.97826087,0.181,2015
168,american journal of engineering and applied sciences,1941-7039,219,228,0.960526316,0.177,2015
169,american journal of potato research,1874-9380,409,260,1.573076923,0.328,2015
170,american journal of translational research,1943-8141,875,252,3.472222222,0.889,2015
171,amfiteatru economic,1582-9146,17,33,0.515151515,0.081,2015
172,amfiteatru economic,2247-9104,17,33,0.515151515,0.081,2015
173,amino acids,1438-2199,4997,1521,3.285338593,0.829,2015
174,anaerobe,1075-9964,1852,566,3.272084806,0.825,2015
175,anais brasileiros de dermatologia,0365-0596,1375,981,1.401630989,0.284,2015
176,anales de psicologia,0212-9728,639,478,1.336820084,0.268,2015
178,anales del jardin botanico de madrid,0211-1322,53,64,0.828125,0.147,2015
179,analog integrated circuits and signal processing,1573-1979,789,796,0.99120603,0.184,2015
180,analytical and bioanalytical chemistry,1618-2650,15798,4518,3.496679947,0.897,2015
181,analytical cellular pathology,1878-3651,205,119,1.722689076,0.368,2015
182,analytical cellular pathology,2210-7177,205,119,1.722689076,0.368,2015
183,analytical sciences,1348-2246,1163,889,1.308211474,0.26,2015
